Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Hip Hop Sessions Boat Party Punta Cana,2026-09-26,12:00 PM - 3:00 PM,"Playa Bibijagua, Avenida Barceló, Punta Cana, La Altagracia 23000",,Nightlife / Party,https://www.eventbrite.com/e/hip-hop-sessions-boat-party-punta-cana-tickets-1988048752335,,eventbrite: https://www.eventbrite.com/e/hip-hop-sessions-boat-party-punta-cana-tickets-1988048752335,1,Punta Cana,18.582,-68.404
República Dominicana es hora de hablar de negocio,2026-09-26,3:00 PM - 6:00 PM,"Camara de Comercio y Produccion de La Romana, 12 Maria Teresa Toda, La Romana, La Romana 22000",,Conference / Expo,https://www.eventbrite.com/e/republica-dominicana-es-hora-de-hablar-de-negocio-tickets-2001405059409,"República Dominicana es hora de hablar de negocio: conecta, aprende y crece en un evento único y presencial.",eventbrite: https://www.eventbrite.com/e/republica-dominicana-es-hora-de-hablar-de-negocio-tickets-2001405059409,1,Punta Cana,18.582,-68.404
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,Punta Cana,18.582,-68.404
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,Punta Cana,18.582,-68.404
iTHRIVE Holistic Retreat Punta Cana-Vision 2030 for Leaders & Entrepreneurs,2026-10-01,6:00 PM - 11:30 PM,"Playa Palmera Beach Resort, 1 Boulevard Andi Las Vegas, Punta Cana, La Altagracia 23000",,Arts & Theatre,https://www.eventbrite.ca/e/ithrive-holistic-retreat-punta-cana-vision-2030-for-leaders-entrepreneurs-tickets-1997904688706,,eventbrite: https://www.eventbrite.ca/e/ithrive-holistic-retreat-punta-cana-vision-2030-for-leaders-entrepreneurs-tickets-1997904688706,1,Punta Cana,18.582,-68.404
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,Punta Cana,18.582,-68.404
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,Punta Cana,18.582,-68.404
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,Punta Cana,18.582,-68.404
"European Remote Workers Meetup • Las Terrenas (Network, Connect & Chill)",2026-11-13,2:00 PM - 3:30 PM,"Villa Sunset with Infinity pool, Callejon del Bate, Las Terrenas, Samaná 32000",,Arts & Theatre,https://www.eventbrite.com/e/european-remote-workers-meetup-las-terrenas-network-connect-chill-tickets-1987304690827,Informal gathering for Remote Workers in Las Terrenas.,eventbrite: https://www.eventbrite.com/e/european-remote-workers-meetup-las-terrenas-network-connect-chill-tickets-1987304690827,1,Punta Cana,18.582,-68.404
THF x NEW CANA: BOAT TAKEOVER,2026-11-14,8:00 AM - 11:00 PM,"Punta Cana, Ocean Dr, Punta Cana, La Altagracia Province 23000",,Nightlife / Party,https://www.eventbrite.com/e/thf-x-new-cana-boat-takeover-tickets-1997506264007,,eventbrite: https://www.eventbrite.com/e/thf-x-new-cana-boat-takeover-tickets-1997506264007,1,Punta Cana,18.582,-68.404
